artist,track_name,year,genre,lyric,source
Aventura,Obsesión,2002,custom,"40 Contributors
Translations
English
Deutsch
Obsesión Lyrics
[Letra de ""Obsesión"" ft. Judy Santos]
[Intro: Romeo Santos & 
Judy Santos
]
Something flavored, Aventura
Hello?
Shh, solo escucha
[Verso 1: Romeo Santos]
Son las cinco 'e la mañana y yo no he dormido nada
Pensando en tu belleza, en loco voy a parar
El insomnio es mi castigo, tu amor será mi alivio
Y hasta que no seas mía no viviré en paz
Hoy conocí tu novio, pequeño y no buen mozo
Y sé que él no te quiere, por su forma de hablar
Además, tú no lo amas, porque él no da la talla
No sabe complacerte como lo haría yo
Pero tendré paciencia, porque él no es competencia
Por eso no hay motivos para yo respetarlo
[Coro: Judy Santos]
No, no es amor
Lo que tú sientes se llama obsesión
Una ilusión
En tu pensamiento
Que te hace hacer cosas
Así funciona el corazón",my_artists
Aventura,Volví,2021,custom,"29 Contributors
Translations
Deutsch
English
Volví Lyrics
Con el sutil ritmo de reggaetón y las guitarras características de bachata, “Volví” es una canción de amor que marca la primera colaboración entre Bad Bunny y el famoso grupo de bachata Aventura. La… 
Read More
 
[Letra de ""Volví""]
[Intro: Romeo Santos]
Dime por qué le tiras piedras a la luna
Tan ilógico como extraerme de tu piel
Después de Dios, soy tu todo, mujer
¿Qué tal te está yendo con él?
[Coro: Romeo Santos & 
Bad Bunny
]
Yo sé que al final
A mí no me olvidas tan siquiera un poco
Al final, baby, tú extrañas cómo yo te toco
Recuerda, de tu cuerpo sé yo, mami
Cada rincón por dentro y por fuera
Dile que volví por ti (
Yeh, yeh, yeh, yeh
)
[Verso 1: Bad Bunny & 
Romeo Santos
]
Yo soy ese tatuaje, mami, que no se te borra
Sin palomería', yo no bajo con cotorra
Dile al bobo ese que еn mí siempre e' quе tú piensa'
Que cuando él termina e' cuando tú apena' comienza'
Y ahí e', ahí e' cuando tú siente' la diferencia
Yo siempre te daba con consistencia
Dile que se retire, haga su diligencia
Porque volví por ti (Volví)
Pa' hacértelo bien rico como te gusta a ti
Ponte en cuatro y te la saco como lo hace Tatí'
Te montaste en la Jeepeta y no tenía' panty
So no te engañes
Que e' imposible que no me extrañe'
Lo nuestro e' de año', no hay forma de que se dañe
Con él ni suda', no hace falta ni que tú te bañe'
Despué' de lo' polvo' conmigo la' sábana' hay que botarla'
Toalla pa' la nena pa' secarla
No quiero a otra, tú ere' la que sabe sacarla
Hoy vine pa' rescatarla (
So nasty
)",my_artists
Aventura,Ella Y Yo,2005,custom,"25 Contributors
Translations
English
Deutsch
Ella Y Yo Lyrics
In this song Don Omar discusses his relationship with a married girl with his close friend Romeo, after Romeo giving him advice that it’s ok if they feel love for each other Don Omar confesses that the girl… 
Read More
 
[Letra de ""Ella Y Yo"" ft. Don Omar]
[Intro: Don Omar & 
Romeo Santos
]
Don
And another one, that's right
Don
Dominicans, boricuas, hands up
 (Don, Don)
On your feet, everybody, come on
No hay pa' nadie pa'
Y me fui con los bachatero'
Aventura
Nasty
Let me find out
[Verso 1: Don Omar & 
Romeo Santos
]
Ella y yo
Dos locos viviendo una aventura castigada por Dios
Un laberinto sin salida donde el miedo se convierte en amor
Somos su marido, ella y yo
Mi esposa y yo
Igual que ustedes, compartimos en la vida un eterno amor
La dama perfecta, toda una belleza, ella es mi inspiración
Somos feliz ella y yo, ella y yo
Amigo, ella y yo
Solos nos vemo' a escondidas para ahogar esta prohibida pasión
Y aunque tiene dueño, yo solo tengo un sueño: ser su protector
Somos su marido, ella y yo",my_artists
Aventura,Dile Al Amor,2009,custom,"17 Contributors
Translations
Deutsch
English
Dile Al Amor Lyrics
“Dile Al Amor” (“Tell Love”) is Aventura’s fourth single from their album The Last. This was the second song from Aventura to reach number-one on Hot Latin Tracks.

This is a soulful song about a man who’s… 
Read More
 
[Letra de ""Dile Al Amor""]
[Intro]
So nasty
Tu grupo favorito, mami
[Verso 1]
Cupido, no te entiendo, alardeas de ejemplo
De juntar corazones, un experto en conexión
Te fallaron las flechas, y de tantas violetas
Que por ti he regalado, en mi jardín no hay ni una flor
[Coro]
Pues, dile al amor que no toque mi puerta
Que yo no estoy en casa, que no vuelva mañana
A mi corazón ya le ha fallado en ocasiones
Me fui de vacaciones, lejos de los amores
Dile al amor que no es grato en mi vida
Dale mi despedida, cuéntale las razones
[Verso 2]
Cupido, no entiendo si la suerte me odia
Y me ha dado de herencia la fortuna del desamor
Y te pido disculpas, pero no aciertas una
Mis febreros son largos, aunque no sea tu intención",my_artists
Aventura,Mi Corazoncito,2006,custom,"11 Contributors
Mi Corazoncito Lyrics
[Letra de ""Mi Corazoncito""]
[Intro: Romeo]
Mi corazoncito está de luto por tu amor
Prendió dos velitas y te escribió una canción
Es un poco necio y se llena de complejos
Pero se cree tu dueño, mira qué imaginación
[Verso: Romeo]
No le digas a nadie
Lo mucho que te quiero
Que soy un bohemio loco
No se lo comente al pueblo
No le digas a nadie
Ay, que tu vida es mi vida
Que me la paso imaginando, esperando tenerte conmigo y qué va
[Coro: Romeo & 
Henry
]
(
Déjenme soñar
)
Que el corazoncito es mío-mío, mío, mío, mío
(
Déjenme soñar
)
Yo soy el poeta de mil penas, y tú eres mi condena
(
Déjenme soñar
)
Qué importa que en mi mente sea tu hombre, tú no me correspondes
(
Déjenme soñar
)
Que el corazoncito es mío-mío
Mami, no le digas a nadie",my_artists
Aventura,Los Infieles,2006,custom,"11 Contributors
Translations
English
Los Infieles Lyrics
[Letra de ""Los Infieles""]
[Intro]
You know we're not supposed to be doing this, right?
No estamos supuesto hacer esto
This is a sin
Esto es un pecado
We're both going to hell
Vamos pa' el infierno
Fuck it
[Coro]
Quítate la ropa lentamente, hoy quiero amanecer contigo
(Hoy quiero amanecer contigo)
Y cuidado si sospechan los vecinos, mi mujer o tu marido
(Mi mujer o tu marido, oh-oh-oh)
[Verso 1]
Tú y yo durmiendo con los enemigos
Dos seres que jamás hemos querido
Los dos saciando un bendito capricho
Donde somos masoquistas por no volver a nuestros nidos
Desnúdate al paso mi reina y solo ámame
Que el secreto permanezca en un cuarto de hotel
Te aseguro que esos tontos no van a entender
Que si les somos infieles es por un gran querer
Así con cautela despacio solo ámame
Que si nos coge la noche, yo me inventaré
Una excusa bien tramada, ella me lo cree
Y tu di otra mentirita al idiota aquel",my_artists
Aventura,Un Beso,2005,custom,"13 Contributors
Translations
English
Deutsch
Un Beso Lyrics
Una de las canciones más populares de Aventura, “Un Beso” es el tercer sencillo del cuarto álbum de Aventura; “God’s Project”, en poco tiempo obtuvo gran éxito alcanzando la posición número 6 en Billboard Hot… 
Read More
 
[Letra de ""Un Beso""]
[Pre-Coro: Romeo Santos]
Hay una mujer
Que domina mis sentidos con solo tocar mi piel
Y como a mí también
A otro hombre esto le puede suceder
[Coro: 
Henry Santos
 & Romeo Santos]
Que solo por un beso
 se puede enamorar
Sin necesidad de hablarse, solo los labios rozarse
Cupido los flechará
Y solo por un beso
 con ella soy feliz
Tan solo con un besito, me llevó al infinito
Y ni siquiera la conozco bien
[Post-Coro: Romeo Santos]
Un beso significa amistad, sexo y amor
En cualquier parte del mundo, no importa la religión
Por un beso de su boca voy al cielo y hablo con Dios
Alcanzo las estrellas de emoción
[Verso: Romeo Santos]
Su boca es tan sensual
Me cautiva y me excita, no me canso de besar
Su lengua es mi debilidad (Debilidad)
Ella sabe los truquitos, díganme si hay alguien más",my_artists
Aventura,I’m Sorry,2003,custom,"7 Contributors
I’m Sorry Lyrics
[Letra de ""I'm Sorry""]
[Intro: Romeo Santos]
Anthony, get your hands off of me
Sheila, will you please hold on
No, no
Stop acting like that, though
Just get away
Sheila, you know I love you, stop acting like that
No, no, no
So I'm not stopping one time and you're gonna act like that?
Yeah, whatever
Come on, will you please? Come on!
No, what you gotta say? What?
[Verso 1: Romeo Santos, 
Henry Santos
, 
Romeo & Henry Santos
]
I Know I played you, I know I messed up
That was retarded, es la verdad
Fallé, mi cielo, pero te quiero
Perdóname
, please take me back
Every man on this planet at least had to screw up once
(Screw up once, screw up once)
Pero eso no indica que me deberías dejar
And the thought of you leaving my life makes me wanna cry
(Wanna cry, wanna cry)
Merezco otra oportunidad
, please
Si no me perdonas es mejor morir
Y
 I'm only human and I feel like shit
And even though I messed around, 
yo te amo
No entiendo porque dicen cuando uno es infiel
Y que el hombre no quiere a su mujer
I wasn't faithful that makes me a dog, 
but I still love you",my_artists
Aventura,Enséñame a Olvidar,2002,custom,"20 Contributors
Enséñame a Olvidar Lyrics
[Letra de ""Enséñame a Olvidar""]
[Intro]
Aventura
Amor, escucha las palabras de Romeo
[Verso 1]
¿Será esto un sueño, que te perdí, que en verdad ya no te tengo?
Cuanto quisiera cerrar mis ojos y empezar de nuevo
¿Será posible? ¿Podré olvidar aquel romance apasionado?
¿Será posible un día decirte que por fin ya no te amo?
Lo dudo mucho mi amor
Es como ver un pez del mar poder volar
Y aunque te deje de amar
Es imposible que te pueda olvidar
[Coro]
Si me enseñaste a querer
También enséñame a olvidar esto que siento
Porque eres tú, niña querida
La mujer a quien yo amo y a quien quiero
¿Quién sanará este dolor
Que me dejaste en mi interior cuando te fuiste?
Quien inventó el amor
Debió dar instrucciones pa' evitar el sufrimiento",my_artists
Aventura,El Malo,2009,custom,"17 Contributors
Translations
English
El Malo Lyrics
“El Malo” (“The Bad Guy”) is the fifth single released from Aventura’s album The Last. The single was released in 2010 and reached #1 on Latin Tropical Airplay.

At the time “El Malo” was released, the… 
Read More
 
[Letra de ""El Malo""]
[Intro]
Él te da su amor, tú duermes con dudas
Ahora ves que la costumbre no es lo que aparenta ser
Es tan sincero, contrario a mis defectos
Pero sigo siendo el malo que no dejas de querer
[Pre-Coro]
Tú serás la Cinderella
Él, el tonto que da pena
Y aunque yo no sea un príncipe azul
Soy tu amor y tu dilema
Y al igual que en las novelas
Soy el malo con una virtud
[Coro]
Él no entiende el procedimiento, cuándo y cómo darte un beso
Yo, en cambio encuentro el punto débil, que te eleva hasta el exceso
Y ni siquiera se imagina de ese pacto misterioso con tu alma y tu cerebro
Tendrías que volver a nacer, para ver si en otra vida te enamoras de él
No tiene la táctica adecuada pa' arrancarme de tu pecho
Yo, que te fallé a ti mil veces, sigo siendo tu dueño
Que me pregunte cómo te conquisté, que anote mis truquitos en papel
No basta los modales y ser fiel, si tú deliras por el malo que te eriza la piel",my_artists
